"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","9/817","37/9376",0.243243243243243,2.79149161401303,3.37326614141972,0.00370060674164194,0.0248680773038338,0.0199443226496913,"3383/3458/3553/7064/3040/3039/7124/3043/102723407",9
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","18/817","105/9376",0.171428571428571,1.96733694701871,3.07959983760587,0.003953096340191,0.0260435626655126,0.0208870678019149,"4791/30835/4792/4773/6367/29108/5971/868/3659/3553/4046/4772/22808/2207/5293/10379/7124/9641",18
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","13/817","66/9376",0.196969696969697,2.26045028003412,3.17473879927726,0.00403055136490077,0.0260435626655126,0.0208870678019149,"7042/3594/50615/7040/2625/3458/3553/4772/3561/64127/3119/3111/7124",13
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","26/817","173/9376",0.15028901734104,1.72473662985263,2.97251261193013,0.00412260244836225,0.0261357438235796,0.0209609975527455,"578/581/57506/4938/3383/8106/4792/29108/3458/8795/8743/5340/3553/9407/5293/7177/3119/4261/3665/51284/64499/3111/10379/7124/9641/6352",26
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","23/817","148/9376",0.155405405405405,1.78345297561944,2.96807692412826,0.00444748289045435,0.0276732268739382,0.0221940666658151,"1870/578/4791/7481/581/10683/595/1647/8600/54567/10912/23493/1950/7157/4851/7476/3815/6464/2353/5293/6199/3714/28514",23
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","14/817","77/9376",0.181818181818182,2.08656948926227,2.95780744626531,0.00613966159982491,0.0369701477979652,0.0296502438479922,"1870/578/5888/581/7042/7040/595/1647/5880/10912/1950/7157/5293/6199",14
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","16/817","93/9376",0.172043010752688,1.97438833392559,2.91752460903001,0.00616169129966087,0.0369701477979652,0.0296502438479922,"3674/1870/578/3918/5915/581/4792/595/2335/1647/10912/1284/7157/1030/5293/1282",16
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","17/817","103/9376",0.16504854368932,1.89411890530118,2.81896000017068,0.00740151794376384,0.0435838507534124,0.034954466769654,"2006/1307/3783/6505/1277/1297/1289/54407/1284/1292/1295/1359/8645/1278/1282/84570/1306",17
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","34/817","254/9376",0.133858267716535,1.53617517516553,2.67647801254694,0.00752340280862476,0.0435838507534124,0.034954466769654,"952/8913/6915/5733/55283/2769/815/489/5026/4773/5023/3274/113/5153/4772/5156/3357/1950/776/80228/113026/4486/5260/4846/154/5724/6870/8877/2066/1133/155/6263/102723407/84876",34
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","15/817","87/9376",0.172413793103448,1.97864348119698,2.83324940172991,0.00770358147472875,0.0438712436526925,0.0351849573154426,"578/581/332/7042/27113/7040/595/1647/5880/10912/1950/7157/2353/5293/6199",15
