"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006909","GO:0006909","phagocytosis","68/1610","251/18860",0.270916334661355,3.17359134889015,10.5908534420978,2.93109614907688e-18,1.5239035342337e-15,1.17215797196099e-15,"FGR/ITGAL/BTK/TYROBP/SLC11A1/MARCO/CNN2/ABCA7/SCARB1/ICAM3/PTPRC/FCN1/UNC13D/TREM2/SH3BP1/IL2RB/SIRPB1/HCK/CORO1A/PYCARD/CSK/FCER2/TGFB1/LIMK1/BIN2/IFNG/HAVCR1/NCF2/CCR2/NCKAP1L/C3/CD93/CFP/LDLR/SYT11/DOCK2/DYSF/MYO1G/MFGE8/IRF8/VAV1/FCN3/FCGR2A/MEGF10/IL2RG/FCGR1A/COLEC12/FCER1G/SPON2/ITGB2/TAFA4/ADORA1/MST1R/C2/PLD4/AXL/CD300A/ITGAM/CD14/SPHK1/GATA2/PLA2G6/CD300LF/ELANE/TGM2/LYN/ITGB3/RAB7B",68
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","96/1610","439/18860",0.218678815489749,2.56166612430849,10.1144335868363,3.67924622440148e-18,1.75346742977934e-15,1.34873420805033e-15,"ITGAL/ALOX5/RUNX3/CD44/STK10/PTPRC/ICAM1/CD209/IL12RB1/CTSG/SIRPB1/TNFSF13B/CORO1A/PYCARD/CSK/CD276/CD37/IL4I1/LILRB1/RASAL3/EBI3/TGFB1/JAK3/GATA3/CD5/MDK/CD69/SELPLG/IFNG/CD86/CBLB/ZAP70/ITGA4/NR4A3/TNFSF11/CCR2/SASH3/NCKAP1L/PCK1/SOX4/IRF1/IL1B/TNFSF9/CD70/TNFSF14/RAC2/FCHO1/LILRB2/HAVCR2/DTX1/HLX/LRRC32/CD27/GPR65/VAV1/XCL1/TNFRSF21/IL2RG/GNRH1/FERMT3/DLG5/ADAM8/VSIG4/CD1D/ITGB2/ITGA5/LAPTM5/TNFAIP8L2/ICOS/SLC4A2/CERCAM/NOD2/CD300A/CCDC88B/CX3CR1/LGALS9/LGALS9C/LRG1/PIK3CD/HLA-DQB1/FUT7/TIGIT/LCK/KLHL25/BTLA/LILRB4/PDCD1/ADA/SPN/ELANE/CARD11/CD3E/HLA-DOA/TNF/LYN/CCL5",96
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","90/1610","402/18860",0.223880597014925,2.6226012793177,10.04639474021,8.74877336188804e-18,3.84878729666444e-15,2.96041488901458e-15,"BTK/WAS/SLC11A1/TNFRSF1B/NFKB2/PTPRC/ICAM1/UNC13D/TREM2/IL12RB1/CSF2RB/IL2RB/TNFSF13B/RELB/FCER2/IL4I1/LILRB1/IL27RA/EBI3/TGFB1/JAK3/GATA3/CD69/IFNG/CR2/CCR2/SASH3/LY9/NCKAP1L/IL1B/CD70/C3/ULBP3/EPHB2/HAVCR2/MYO1G/HLX/IRF4/CD27/SECTM1/XCL1/FCGR2A/NOTCH1/FCGR1A/CD1D/CD1C/FCER1G/C1QC/FCMR/C2/INPP5D/LGALS9/C1QB/C1QA/CD7/CD19/FUT7/PRF1/IRF7/LILRB4/PDCD1/ADA/ARID5A/SPN/GZMM/FCGR3A/IGLC2/IGLC3/IGHA2/IGHG4/IGHG1/IGHG3/IGHD/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-15/IGHV1-18/IGHV3-20/IGHV3-21/IGHV3-33/IGHV4-34/IGHV4-39/IGHV4-61/IGHV4-59/LTA/TNF/IGLL5/IGHV3-30/IGHV1-69D",90
"GO:0050866","GO:0050866","negative regulation of cell activation","64/1610","235/18860",0.272340425531915,3.190273556231,10.3219528005537,2.18556683868534e-17,8.33283783362763e-15,6.40946232902879e-15,"FGR/CX3CL1/BTK/TYROBP/RUNX3/CD84/FAM76B/CST7/PTPRC/TREM2/RHBDD3/CTSG/CSK/CD37/IL4I1/LILRB1/TGFB1/CD33/JAK3/MDK/CD69/SH2B3/CD86/CBLB/FN1/IRF1/NR1D1/LDLR/LILRB2/SYT11/PDGFRA/HAVCR2/DTX1/HLX/LRRC32/EMILIN1/XCL1/TNFRSF21/GNRH1/DLG5/UBASH3B/VSIG4/LAPTM5/TNFAIP8L2/NOS3/SLC4A2/AXL/CD300A/INPP5D/LGALS9/LGALS9C/TBC1D10C/THBD/TIGIT/TAFA3/CD300LF/BTLA/LILRB4/PDCD1/CNR2/SPN/LST1/LYN/MILR1",64
"GO:0071674","GO:0071674","mononuclear cell migration","64/1610","235/18860",0.272340425531915,3.190273556231,10.3219528005537,2.18556683868534e-17,8.33283783362763e-15,6.40946232902879e-15,"ITGAL/CX3CL1/CCL26/ALOX5/CNN2/SPI1/STK10/MMP2/ICAM1/TREM2/HSD3B7/CTSG/ASB2/CORO1A/PYCARD/IL27RA/TGFB1/PIK3CG/GATA3/MDK/CD69/NEDD9/ZAP70/ITGA4/DUSP1/TNFSF11/CCR2/PLG/TNFSF14/MYO1G/EMILIN1/TRPM2/NLRP12/XCL1/ECM1/PLA2G7/ADAM8/MMP14/NBL1/MICOS10-NBL1/JAML/CCR5/CXCL16/S100A12/TAFA4/CCR1/DEFA4/CX3CR1/LGALS9/PIK3CD/C3AR1/SAA1/CMKLR1/FUT7/CSF1R/CSF1/CXCR3/SPN/TNF/LYN/ITGB3/CCL5/CCL4/CCL3",64
"GO:0032943","GO:0032943","mononuclear cell proliferation","77/1610","319/18860",0.241379310344828,2.82758620689655,10.0573683138208,2.45610508108085e-17,8.77904059918837e-15,6.75267311436637e-15,"CD38/BTK/TYROBP/SLC11A1/TNFRSF1B/TNFRSF9/CNN2/PTPRC/BAX/CD209/IL12RB1/NFATC2/ELF4/TNFSF13B/CORO1A/PYCARD/CD276/CD37/IL4I1/LILRB1/RASAL3/EBI3/TGFB1/CD79A/PIK3CG/CD86/CBLB/ZAP70/CR2/CCR2/SASH3/NCKAP1L/IRF1/IL1B/TNFSF9/CD70/TNFSF14/RAC2/LILRB2/EPHB2/CD180/DOCK2/HAVCR2/LRRC32/TP53/VAV1/XCL1/TNFRSF21/GNRH1/DLG5/VSIG4/MS4A1/CD1D/CHRNB2/IKZF3/LAPTM5/SLC4A2/CD300A/CCDC88B/INPP5D/LGALS9/LGALS9C/MZB1/CD19/CD151/CSF1/BTLA/LILRB4/TNFRSF4/ADA/SPN/CARD11/CD3E/FCGR3A/LST1/LYN/CCL5",77
"GO:0030595","GO:0030595","leukocyte chemotaxis","64/1610","237/18860",0.270042194092827,3.16335141651597,10.2389198236399,3.46706496919936e-17,1.1663614446383e-14,8.97143313082608e-15,"CX3CL1/CCL26/ALOX5/SPI1/MMP2/TGFB2/HSD3B7/CTSG/CHGA/CORO1A/CCL22/PIK3CG/CCL24/CCL8/MDK/NEDD9/CSF3R/PGF/DUSP1/TNFSF11/CCR2/NCKAP1L/PREX1/IL1B/C3/TNFSF14/FFAR2/ADGRE2/RAC2/VAV1/TRPM2/XCL1/PLA2G7/ADAM8/KIT/NBL1/MICOS10-NBL1/FCER1G/ITGB2/JAML/CCR5/CXCL16/S100A12/TAFA4/PPBP/CCR1/DEFA4/CX3CR1/LGALS9/PIK3CD/C3AR1/IL16/SAA1/CMKLR1/CSF1R/CSF1/CXCR3/CNR2/GPSM3/LYN/CCL5/CCL4/CCL4L1/CCL3",64
"GO:0060326","GO:0060326","cell chemotaxis","78/1610","330/18860",0.236363636363636,2.76883116883117,9.90337812285966,5.50332948993102e-17,1.74853007516197e-14,1.344936487627e-14,"CX3CL1/CCL26/ALOX5/BCAR1/SPI1/CXCL2/MMP2/TGFB2/HSD3B7/CTSG/CHGA/CORO1A/CCL22/PRKD2/PIK3CG/CCL24/ENG/CCL8/MDK/BIN2/NEDD9/HRG/CSF3R/PGF/DUSP1/TNFSF11/CCR2/NCKAP1L/NR4A1/PREX1/IL1B/C3/TNFSF14/FFAR2/ADGRE2/RAC2/PDGFRA/VAV1/TRPM2/EPHA2/XCL1/PLA2G7/NOTCH1/ADAM8/KIT/NBL1/MICOS10-NBL1/FCER1G/ITGB2/JAML/CCR5/CXCL16/S100A12/TAFA4/PPBP/CCR1/DEFA4/CX3CR1/LGALS9/PIK3CD/C3AR1/IL16/SAA1/CMKLR1/RHOG/CSF1R/CSF1/CXCR3/CNR2/GPSM3/LYN/CCL5/CCL4/CCL18/CCL4L1/CCL3L1/CCL3L3/CCL3",78
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","60/1610","215/18860",0.27906976744186,3.26910299003322,10.2228023179211,6.25428691010983e-17,1.88254035994306e-14,1.44801468129357e-14,"CD38/BTK/BCAR1/PTPRC/FYB1/LAT2/BAX/NFKBIA/NFATC2/CSK/CD276/KCNN4/PRKD2/CD79A/GATA3/PDE4D/CBLB/ZAP70/NCKAP1L/FCHO1/GPS2/PRAM1/CD53/TNFRSF21/DGKZ/MS4A1/CD3G/LAPTM5/FCMR/TRAT1/CD3D/CD300A/INPP5D/PIK3CD/CD8B/ZNF683/CD19/HLA-DQB1/LCK/SH2D1A/LILRB4/FYB2/ADA/CARD11/CD247/CD3E/LIME1/IGLC3/TRBC1/TRBC2/IGHA2/IGHG4/IGHG1/IGHG3/IGHD/IGHM/TRGC2/NFAM1/LYN/TRAC",60
"GO:0050867","GO:0050867","positive regulation of cell activation","88/1610","401/18860",0.219451371571072,2.57071606697542,9.7127789787369,7.61187086700287e-17,2.17661447441947e-14,1.67421096595816e-14,"CD38/BTK/TYROBP/RUNX3/SPI1/PTPRC/CD209/TREM2/IL12RB1/NFATC2/SIRPB1/TNFSF13B/CORO1A/PYCARD/CSK/CD276/IL4I1/LILRB1/RASAL3/EBI3/TGFB1/GATA3/ACTA2/CD5/MDK/IFNG/HAVCR1/CD86/ZAP70/PLEK/CD2/NR4A3/TNFSF11/CCR2/SASH3/NCKAP1L/PCK1/SOX4/IL1B/TNFSF9/CD70/TNFSF14/FCHO1/LILRB2/EPHB2/HAVCR2/HLX/CD27/GPR65/VAV1/XCL1/IL2RG/ADAM8/MMP14/CD1D/CHRNB2/ICOS/NOD2/AXL/CCDC88B/INPP5D/LGALS9/GP9/PIK3CD/IL16/TLR6/GP5/HLA-DQB1/LCK/KLHL25/TAFA3/GP1BA/LILRB4/TNFRSF4/LILRA5/BLOC1S3/ADA/FLNA/SPN/CARD11/CD3E/FCGR3A/HLA-DOA/TNF/LILRA2/LYN/CCL5/CCL3",88
