"ENSEMBL_gene_ID","SYMBOL","signature","Sample_1_LivingDonor","Sample_2_LivingDonor","Sample_3_LivingDonor","Sample_4_LivingDonor","Sample_5_LivingDonor","Sample_6_LivingDonor","Sample_7_LivingDonor","Sample_8_LivingDonor","Sample_322","Sample_228","Sample_143","Sample_331","Sample_214","Sample_29","Sample_274","Sample_263","Sample_311","Sample_219","Sample_243","Sample_292","Sample_314","Sample_146","Sample_176","Sample_252","Sample_14","Sample_244","Sample_285","Sample_67","Sample_159","Sample_294","Sample_200","Sample_85","Sample_158","Sample_116","Sample_264","Sample_336","Sample_110","Sample_323","Sample_296","Sample_31","Sample_187","Sample_46","Sample_148","Sample_23","Sample_165","Sample_291","Sample_24","Sample_324","Sample_289","Sample_281","Sample_293","Sample_155","Sample_191","Sample_181","Sample_286","Sample_313","Sample_66","Sample_117","Sample_141","Sample_207","Sample_234","Sample_231","Sample_307","Sample_257","Sample_99","Sample_208","Sample_255","Sample_201","Sample_262","Sample_127","Sample_239","Sample_47","Sample_51","Sample_204","Sample_12","Sample_235","Sample_256","Sample_69","Sample_195","Sample_186","Sample_54","Sample_229","Sample_35","Sample_295","Sample_179","Sample_147","Sample_88","Sample_120","Sample_156","Sample_193","Sample_164","Sample_133","Sample_190","Sample_197","Sample_34","Sample_68","Sample_226","Sample_72","Sample_111","Sample_319","Sample_337","mean_expression"
"ENSG00000113140","SPARC","Fibrosis",182344,199804,180900,253654,201120,199069,196389,205356,390564,274467,99549,346995,194636,386594,246997,202334,401052,300413,355049,168302,313147,473050,455429,373072,230116,741667,185205,558829,387615,262502,529843,398902,248052,137107,324637,491530,498413,305809,255662,257891,236509,507308,120426,432731,206938,215298,66200,23760,213799,204158,414704,232732,279657,394060,346480,195889,295910,463434,322704,368391,392412,316597,291464,268345,355089,207498,314119,334767,364406,533509,426357,183297,306415,155641,194889,346509,324700,59281,251012,252808,260730,166433,204293,397051,622222,273358,347471,216746,694609,608848,568234,194987,355442,267362,225923,445685,239421,237279,464116,270480,280689,308669.782178218
"ENSG00000026025","VIM","Fibrosis",22179,11249,18603,12838,13445,10543,8500,13585,16484,22173,14198,20540,23171,24710,11977,25543,8560,6856,22890,15663,9908,28070,17079,22450,32047,50423,23997,31829,22933,21413,21574,24632,19825,24954,49395,23048,47095,19442,21769,16395,22618,21963,29197,10107,20730,6672,24829,6496,27842,28998,9851,28459,23020,23202,15470,13436,15498,24162,27099,22055,19068,16650,31499,11069,18632,31021,12724,13936,12976,26255,15914,80952,19092,13478,13815,13460,20596,52319,22677,26736,23812,18466,22483,19611,29155,17284,19376,17845,12610,42080,20837,18877,15672,12217,41892,16434,25796,16851,18077,10573,25697,21506.9603960396
"ENSG00000134871","COL4A2","Fibrosis",5044,3258,5670,2817,2230,2999,3447,1829,14665,10567,16192,11858,5964,9818,3895,9736,4565,20223,48408,9379,5051,10462,16937,6015,13479,14504,6453,11037,12356,17826,10636,13573,16381,2654,17952,37777,8627,6370,8246,24971,16006,39020,8232,6895,8304,9866,527,2884,5516,18185,18007,3685,5767,11392,8647,9386,26811,7393,8050,16102,9172,11726,8119,15075,13630,14643,4501,8223,7071,11737,29290,25150,9116,6049,5431,11187,3994,6188,9278,9812,6046,5012,3711,13156,24791,18916,14681,5945,95692,15985,33530,7101,27587,10514,5739,15410,7825,721,15066,16502,14402,12497.7227722772
"ENSG00000168542","COL3A1","Fibrosis",5994,3751,3509,2662,4389,4956,3208,4767,11129,9277,4082,8076,6357,7694,2466,16394,5008,5810,22895,883,4966,5234,6369,4710,3891,4614,3465,18762,14213,6762,3381,14972,5124,3089,6082,27673,6187,5742,4356,27888,14311,18883,6223,6568,3112,6372,529,427,3416,12205,30522,2509,11035,11053,9049,8308,9573,4360,6441,9126,24847,6359,6661,14769,5518,6248,7875,10471,4883,18755,17279,2203,12481,2533,16121,8779,7914,933,4312,12330,2585,5310,2613,7659,22969,9934,8243,6268,10019,13374,17043,10639,9819,8737,5065,18842,4869,926,4508,24976,7058,8688.47524752475
"ENSG00000113721","PDGFRB","Fibrosis",6001,4195,5109,3614,4740,8099,5254,5049,7720,5576,1565,9032,7175,14228,2038,5354,7516,13021,13556,4520,4321,11488,19197,3402,8342,17474,4580,14942,11920,9866,10722,8151,7733,2609,6087,16797,10650,5706,5252,11655,13292,24612,8167,9609,4938,9600,2633,1136,5170,8070,10033,2607,6136,12251,5486,3694,16084,5426,12949,9172,9331,7303,5278,7395,4639,12596,4190,7311,9394,14152,10267,8068,10117,7933,5254,7002,6438,1475,4690,5060,4538,4670,4279,8290,22119,11958,10938,5035,18974,11308,17913,6094,15100,13491,3780,10846,10749,4082,11349,5573,4963,8408.54455445545
"ENSG00000187498","COL4A1","Fibrosis",6937,2779,5685,2824,1846,2614,2509,2499,11388,6832,8956,7849,2772,5500,3136,7024,3313,11059,25719,4100,3592,5461,8781,4080,13871,10742,5014,9148,7942,12082,5022,5983,11231,2993,13878,21811,5324,4558,4869,10671,7299,16709,5796,5957,5961,4084,702,920,3681,8288,10676,2607,4201,7179,7300,6311,18026,3356,4613,9177,7158,7277,8308,6013,7364,13228,3517,7050,6532,7733,15804,14770,5479,2870,4315,5202,3618,8068,8279,6621,3307,4096,3633,8195,14562,8320,8121,6808,56340,10839,20258,4272,19600,8007,6262,9473,6224,663,9488,11774,10967,7976.75247524752
"ENSG00000137801","THBS1","Fibrosis",12487,7854,8664,8108,5847,9058,4032,6391,11920,5080,13882,5558,10513,6629,3091,5320,9688,3991,9593,4085,4125,4241,4839,9236,10451,9778,8456,6923,8153,9558,8157,8069,5235,2877,7190,10453,8523,8289,5790,9677,9958,8017,10120,8240,6898,11754,2237,675,7125,14936,9582,9090,7670,5107,7975,10444,7161,3229,8008,7087,7015,8437,10466,9092,4255,9161,11923,9069,6392,14478,8378,3426,11576,8637,5418,3635,10176,3432,5221,7831,4259,8502,6073,6746,12786,8464,6612,4655,7539,13125,10720,7563,9822,6685,3244,10699,10287,2085,6639,10767,5031,7697.47524752475
"ENSG00000149591","TAGLN","Fibrosis",2885,1529,3078,1081,1487,1969,1539,2536,4788,3127,2035,4891,4920,3242,1117,14625,4671,3711,4197,2762,3567,3840,1713,948,4847,12259,1879,15458,4100,6675,952,4216,7544,8396,9054,5377,4825,1981,6020,6302,4863,5884,7228,4011,5430,1098,1125,1958,2449,6144,1375,3372,3372,23567,2517,1578,4342,2566,4744,4057,14795,2816,3856,3907,3177,12712,862,2375,3633,5413,8389,6163,2567,3975,8694,2535,1870,3684,5967,6807,3625,3395,3986,2630,8541,4523,3589,6209,3377,7507,9280,6005,3923,7041,9585,1539,20563,4253,2987,4197,7316,4951.39603960396
"ENSG00000107796","ACTA2","Fibrosis",2089,1215,2834,843,1034,2045,2674,2905,11554,2157,2341,7204,8330,2394,868,12562,18570,2358,4115,2026,6545,6374,1490,412,4821,15271,2227,15789,4474,10836,1422,4967,4983,6575,6823,11503,2691,996,8047,4086,5606,5576,2424,4155,4121,839,996,2242,1606,2391,2567,3480,4309,5771,4008,932,2059,2294,7171,8378,14870,3297,3658,1690,2500,4168,850,3723,2558,3988,7625,4800,2836,1527,7914,5158,830,958,5282,4182,2450,2814,4038,1737,7162,4154,2723,8877,2150,7244,10121,2896,7911,10770,6595,1439,17736,1524,3042,5295,9906,4795.77227722772
"ENSG00000115414","FN1","Fibrosis",3190,1203,2177,1510,1067,1161,986,625,1413,1568,2409,1758,483,4372,340,8705,1519,2746,29164,1493,455,2210,3839,230,4178,2632,1753,11888,1957,3669,915,5611,1936,2744,4376,5169,804,394,749,33730,1643,13490,4736,3086,2272,2030,120,2497,542,22573,2052,441,1786,4091,1533,575,8799,647,2330,899,16736,929,2457,1638,2039,5334,642,535,1299,1805,7060,1259,3094,1371,4344,1076,408,4158,1082,3611,3878,2449,1084,4479,2992,5298,4676,5739,9487,3185,8921,10836,4644,8488,3349,4878,5698,185,3800,13252,5134,4025.73267326733
