"ENSEMBL_gene_ID","SYMBOL","signature","Sample_1_LivingDonor","Sample_2_LivingDonor","Sample_3_LivingDonor","Sample_4_LivingDonor","Sample_5_LivingDonor","Sample_6_LivingDonor","Sample_7_LivingDonor","Sample_8_LivingDonor","Sample_322","Sample_228","Sample_143","Sample_331","Sample_214","Sample_29","Sample_274","Sample_263","Sample_311","Sample_219","Sample_243","Sample_292","Sample_314","Sample_146","Sample_176","Sample_252","Sample_14","Sample_244","Sample_285","Sample_67","Sample_159","Sample_294","Sample_200","Sample_85","Sample_158","Sample_116","Sample_264","Sample_336","Sample_110","Sample_323","Sample_296","Sample_31","Sample_187","Sample_46","Sample_148","Sample_23","Sample_165","Sample_291","Sample_24","Sample_324","Sample_289","Sample_281","Sample_293","Sample_155","Sample_191","Sample_181","Sample_286","Sample_313","Sample_66","Sample_117","Sample_141","Sample_207","Sample_234","Sample_231","Sample_307","Sample_257","Sample_99","Sample_208","Sample_255","Sample_201","Sample_262","Sample_127","Sample_239","Sample_47","Sample_51","Sample_204","Sample_12","Sample_235","Sample_256","Sample_69","Sample_195","Sample_186","Sample_54","Sample_229","Sample_35","Sample_295","Sample_179","Sample_147","Sample_88","Sample_120","Sample_156","Sample_193","Sample_164","Sample_133","Sample_190","Sample_197","Sample_34","Sample_68","Sample_226","Sample_72","Sample_111","Sample_319","Sample_337"
"ENSG00000108691","CCL2","Inflammation",1788,2771,1895,773,2009,874,661,2474,581,1860,6359,2784,2097,2762,235,6508,951,1236,2839,3943,402,551,1577,679,4812,3876,2086,5576,2468,4327,394,3021,2671,17545,5529,4257,4487,894,2519,3881,3071,2547,1617,1587,3463,167,2349,1014,1467,8702,974,1474,2246,2990,2182,1379,2062,931,2252,1806,4144,1395,4380,2291,935,2029,828,1116,1989,1247,5040,1402,1415,3233,8835,861,2283,9688,2962,6997,4749,5659,5740,1717,4233,3111,1599,4733,1697,3467,2761,3878,2019,2231,6902,1313,3039,2157,2971,2874,6024
"ENSG00000108821","COL1A1","Fibrosis",63,56,165,5,34,259,49,66,127,812,1406,282,179,1307,107,5148,87,192,28592,37,79,104,54,29,212,1450,124,4349,145,314,52,3399,839,1132,4855,966,208,107,61,6513,280,371,1205,213,342,124,10,230,211,6214,121,99,60,2020,895,241,1029,77,85,101,12637,165,465,894,637,1113,122,164,100,186,3182,55,837,398,5515,115,102,512,92,3160,966,327,244,932,2115,3422,876,1443,477,6352,531,3083,284,841,1336,1352,1149,29,81,11042,2785
"ENSG00000111537","IFNG","Inflammation",0,0,0,0,0,5,0,0,0,8,0,13,0,14,0,17,0,0,13,21,0,0,20,12,33,95,14,70,21,87,4,5,18,0,0,16,131,11,6,13,11,1,0,7,8,0,0,0,38,26,16,0,22,17,0,3,3,0,15,9,18,8,0,7,0,12,0,0,6,8,3,0,0,41,0,2,89,22,4,1,6,430,25,0,18,45,0,41,2,0,4,7,9,45,23,18,0,0,1,0,3
"ENSG00000113140","SPARC","Fibrosis",182344,199804,180900,253654,201120,199069,196389,205356,390564,274467,99549,346995,194636,386594,246997,202334,401052,300413,355049,168302,313147,473050,455429,373072,230116,741667,185205,558829,387615,262502,529843,398902,248052,137107,324637,491530,498413,305809,255662,257891,236509,507308,120426,432731,206938,215298,66200,23760,213799,204158,414704,232732,279657,394060,346480,195889,295910,463434,322704,368391,392412,316597,291464,268345,355089,207498,314119,334767,364406,533509,426357,183297,306415,155641,194889,346509,324700,59281,251012,252808,260730,166433,204293,397051,622222,273358,347471,216746,694609,608848,568234,194987,355442,267362,225923,445685,239421,237279,464116,270480,280689
"ENSG00000113721","PDGFRB","Fibrosis",6001,4195,5109,3614,4740,8099,5254,5049,7720,5576,1565,9032,7175,14228,2038,5354,7516,13021,13556,4520,4321,11488,19197,3402,8342,17474,4580,14942,11920,9866,10722,8151,7733,2609,6087,16797,10650,5706,5252,11655,13292,24612,8167,9609,4938,9600,2633,1136,5170,8070,10033,2607,6136,12251,5486,3694,16084,5426,12949,9172,9331,7303,5278,7395,4639,12596,4190,7311,9394,14152,10267,8068,10117,7933,5254,7002,6438,1475,4690,5060,4538,4670,4279,8290,22119,11958,10938,5035,18974,11308,17913,6094,15100,13491,3780,10846,10749,4082,11349,5573,4963
"ENSG00000115414","FN1","Fibrosis",3190,1203,2177,1510,1067,1161,986,625,1413,1568,2409,1758,483,4372,340,8705,1519,2746,29164,1493,455,2210,3839,230,4178,2632,1753,11888,1957,3669,915,5611,1936,2744,4376,5169,804,394,749,33730,1643,13490,4736,3086,2272,2030,120,2497,542,22573,2052,441,1786,4091,1533,575,8799,647,2330,899,16736,929,2457,1638,2039,5334,642,535,1299,1805,7060,1259,3094,1371,4344,1076,408,4158,1082,3611,3878,2449,1084,4479,2992,5298,4676,5739,9487,3185,8921,10836,4644,8488,3349,4878,5698,185,3800,13252,5134
"ENSG00000121807","CCR2","Inflammation",41,3,82,0,0,18,11,43,42,152,263,120,70,8,0,378,90,0,199,23,56,81,151,122,59,299,40,503,116,42,104,164,75,146,0,84,14,86,186,118,44,214,3,130,127,1,13,0,5,95,34,31,104,265,81,28,89,79,23,123,192,241,0,60,49,66,26,57,50,45,329,2,78,202,494,28,173,1,85,173,0,83,74,21,90,106,76,363,41,0,86,16,91,414,134,135,247,19,200,750,106
"ENSG00000125538","IL1B","Inflammation",106,35,65,0,0,0,4,13,55,86,159,114,72,27,13,221,52,24,90,40,69,16,83,35,433,358,25,186,133,100,9,78,74,276,209,141,178,36,36,111,14,81,24,107,154,7,0,0,84,58,14,87,206,189,93,12,206,36,94,40,140,229,60,38,52,16,26,115,122,159,147,73,30,114,68,31,157,18,126,152,20,211,79,32,62,19,47,294,10,159,57,21,23,152,98,44,32,30,64,202,120
"ENSG00000130635","COL5A1","Fibrosis",1,11,75,18,11,9,34,17,84,183,223,89,11,77,15,413,82,125,293,57,90,19,43,37,100,227,5,254,93,147,1,171,35,42,169,239,118,67,60,385,63,151,228,76,63,120,4,18,33,177,73,30,61,82,126,57,89,26,49,119,683,222,106,57,104,125,74,120,82,74,240,157,172,62,202,71,81,99,43,112,39,89,103,165,365,180,109,87,323,363,172,233,128,34,155,155,118,2,88,655,162
"ENSG00000134871","COL4A2","Fibrosis",5044,3258,5670,2817,2230,2999,3447,1829,14665,10567,16192,11858,5964,9818,3895,9736,4565,20223,48408,9379,5051,10462,16937,6015,13479,14504,6453,11037,12356,17826,10636,13573,16381,2654,17952,37777,8627,6370,8246,24971,16006,39020,8232,6895,8304,9866,527,2884,5516,18185,18007,3685,5767,11392,8647,9386,26811,7393,8050,16102,9172,11726,8119,15075,13630,14643,4501,8223,7071,11737,29290,25150,9116,6049,5431,11187,3994,6188,9278,9812,6046,5012,3711,13156,24791,18916,14681,5945,95692,15985,33530,7101,27587,10514,5739,15410,7825,721,15066,16502,14402
"ENSG00000137801","THBS1","Fibrosis",12487,7854,8664,8108,5847,9058,4032,6391,11920,5080,13882,5558,10513,6629,3091,5320,9688,3991,9593,4085,4125,4241,4839,9236,10451,9778,8456,6923,8153,9558,8157,8069,5235,2877,7190,10453,8523,8289,5790,9677,9958,8017,10120,8240,6898,11754,2237,675,7125,14936,9582,9090,7670,5107,7975,10444,7161,3229,8008,7087,7015,8437,10466,9092,4255,9161,11923,9069,6392,14478,8378,3426,11576,8637,5418,3635,10176,3432,5221,7831,4259,8502,6073,6746,12786,8464,6612,4655,7539,13125,10720,7563,9822,6685,3244,10699,10287,2085,6639,10767,5031
"ENSG00000142156","COL6A1","Fibrosis",1473,879,1588,910,667,1323,1014,1051,2709,2412,3116,1610,1247,1351,1649,3022,347,3549,5327,1762,938,1219,1314,1501,1786,1584,1430,3684,1996,2396,2303,2397,1846,585,3484,5493,1653,1687,1431,3312,2495,5835,2297,804,1676,1801,236,2036,1626,3095,2353,1616,1176,1876,1472,1886,3739,1294,1474,1755,2088,1266,1368,2337,2458,2561,1813,1804,373,1558,2954,1500,1464,2019,1333,1438,1170,2509,1733,2383,1107,1102,1134,1969,4073,2584,2038,843,4135,2608,3711,1982,2549,1479,1321,2152,2818,384,1632,3437,2809
"ENSG00000149591","TAGLN","Fibrosis",2885,1529,3078,1081,1487,1969,1539,2536,4788,3127,2035,4891,4920,3242,1117,14625,4671,3711,4197,2762,3567,3840,1713,948,4847,12259,1879,15458,4100,6675,952,4216,7544,8396,9054,5377,4825,1981,6020,6302,4863,5884,7228,4011,5430,1098,1125,1958,2449,6144,1375,3372,3372,23567,2517,1578,4342,2566,4744,4057,14795,2816,3856,3907,3177,12712,862,2375,3633,5413,8389,6163,2567,3975,8694,2535,1870,3684,5967,6807,3625,3395,3986,2630,8541,4523,3589,6209,3377,7507,9280,6005,3923,7041,9585,1539,20563,4253,2987,4197,7316
"ENSG00000157227","MMP14","Fibrosis",23,12,55,18,11,9,25,58,57,71,269,18,43,70,32,96,69,29,102,23,58,15,21,44,48,53,43,101,44,92,43,45,49,23,128,150,60,153,50,94,99,73,68,62,76,52,7,35,40,197,23,73,52,30,50,43,100,34,71,104,37,20,33,46,52,93,23,30,42,37,70,56,47,75,67,58,22,50,77,84,52,46,39,45,90,48,25,51,82,54,62,78,32,34,51,61,30,5,20,153,92
"ENSG00000158869","FCER1G","Inflammation",1237,492,1154,231,104,254,220,543,1696,2296,4008,2225,2108,1000,558,5751,1256,1376,2228,3464,2195,1295,2121,1087,3950,4316,2013,6584,2954,2431,1191,1309,3228,4111,4581,2549,6333,1551,1684,1385,1637,2079,3052,1611,3159,235,1342,448,2456,1005,854,1352,2133,3799,2740,739,4737,799,2333,1628,2504,2759,2234,557,1669,1955,454,1519,2967,1896,5534,3588,1764,2510,4018,569,1309,3823,2684,4727,1607,1682,2126,1394,2355,2767,2132,7108,2738,3446,2260,866,2403,3128,3256,1245,4233,1172,2964,4008,2858
"ENSG00000161921","CXCL16","Inflammation",852,1145,1379,612,849,732,622,875,2154,3964,10690,2343,2508,3256,1514,4457,505,1897,3250,2040,1038,1483,1656,2098,3008,1517,2076,3598,3338,4282,1898,3591,3133,3037,3658,3691,2898,2533,2106,3151,3757,3440,1648,1073,2855,1888,723,3150,2699,3263,1691,2054,2276,4051,1589,2030,3821,2744,2590,2267,1242,2697,2147,3847,1767,1587,1217,2745,972,3432,5167,1699,2323,4115,2388,1472,2524,1570,2323,4127,2995,3772,3348,2939,4941,3586,2626,3045,5277,6236,3980,5942,2790,2550,5811,2312,3817,2659,2873,5111,3730
"ENSG00000163823","CCR1","Inflammation",98,41,12,32,55,68,72,80,226,260,643,120,166,104,66,408,191,332,176,149,209,135,130,207,161,1,172,306,351,170,323,52,273,41,277,308,312,189,147,123,232,206,116,174,270,24,12,140,147,109,118,231,372,317,164,243,639,55,81,136,127,301,254,155,230,150,63,93,255,282,497,53,100,249,228,109,120,108,180,306,141,267,118,108,179,184,140,320,242,211,241,100,155,234,126,194,506,109,257,276,410
"ENSG00000164692","COL1A2","Fibrosis",688,758,1201,412,617,1157,854,1001,2793,3275,2998,3112,1108,4865,731,13749,2177,4036,13343,1092,831,1498,1516,399,2898,3600,1217,13369,2789,2518,1294,7585,2007,3514,4416,6705,1352,1881,987,18138,2792,6838,1508,1599,1028,1834,72,1829,599,14737,2679,1187,993,4416,5390,1000,3656,2810,1176,2764,15622,953,2036,5982,2262,3158,1043,760,2040,15278,9696,1148,5344,1459,6803,2926,671,250,1114,6994,1558,1656,791,3622,5693,9963,2704,4439,6749,3011,5402,6569,5534,4714,3801,5118,5273,455,2328,14885,6055
"ENSG00000168329","CX3CR1","Inflammation",158,214,562,176,54,54,84,135,826,854,1442,935,663,942,148,1869,440,2142,1826,959,478,1054,3168,666,895,1265,657,3200,2107,1227,630,900,1811,1232,440,2111,1620,577,560,835,950,1311,1456,1205,848,89,296,92,551,538,1245,439,1363,1293,869,395,2865,412,1453,599,1164,1440,483,129,567,259,162,666,1071,1038,3459,680,1534,1749,389,321,902,366,928,842,552,499,1556,537,1798,2746,1943,2400,895,1366,1391,595,2357,2028,449,811,1048,185,2986,293,772
"ENSG00000168542","COL3A1","Fibrosis",5994,3751,3509,2662,4389,4956,3208,4767,11129,9277,4082,8076,6357,7694,2466,16394,5008,5810,22895,883,4966,5234,6369,4710,3891,4614,3465,18762,14213,6762,3381,14972,5124,3089,6082,27673,6187,5742,4356,27888,14311,18883,6223,6568,3112,6372,529,427,3416,12205,30522,2509,11035,11053,9049,8308,9573,4360,6441,9126,24847,6359,6661,14769,5518,6248,7875,10471,4883,18755,17279,2203,12481,2533,16121,8779,7914,933,4312,12330,2585,5310,2613,7659,22969,9934,8243,6268,10019,13374,17043,10639,9819,8737,5065,18842,4869,926,4508,24976,7058
"ENSG00000169896","ITGAM","Inflammation",23,68,102,18,9,30,25,9,87,166,358,74,0,139,41,131,148,120,167,201,86,76,209,82,204,1,124,291,178,88,98,159,31,0,298,266,214,78,142,248,64,159,205,49,74,0,2,169,110,123,118,18,73,273,182,4,166,0,140,86,79,77,116,57,88,27,65,75,115,118,272,230,173,112,289,53,72,47,72,196,99,39,3,110,225,143,49,167,115,66,227,70,230,200,128,117,110,36,203,361,74
"ENSG00000174125","TLR1","Inflammation",121,47,4,64,111,47,46,171,202,206,1039,174,165,140,186,700,132,197,437,125,167,122,316,179,245,301,313,771,318,198,137,292,122,370,401,226,496,246,159,311,241,414,92,277,246,49,0,300,79,230,165,198,163,309,76,146,534,50,172,162,398,240,111,257,172,8,33,78,231,215,684,0,282,200,356,70,263,164,172,266,222,253,222,174,240,469,250,584,233,209,301,219,296,348,395,258,271,169,223,469,266
"ENSG00000174130","TLR6","Inflammation",0,7,1,0,0,6,0,0,8,32,43,3,0,0,10,66,29,1,42,1,27,84,19,20,5,1,42,10,18,58,1,1,0,0,7,2,36,31,41,0,0,0,0,0,15,0,0,0,0,61,13,49,18,51,0,0,74,12,33,0,4,59,0,17,31,14,4,5,10,29,45,27,37,14,10,0,7,35,2,8,0,1,0,17,34,37,0,2,53,0,114,27,10,22,65,45,79,13,20,44,55
"ENSG00000187498","COL4A1","Fibrosis",6937,2779,5685,2824,1846,2614,2509,2499,11388,6832,8956,7849,2772,5500,3136,7024,3313,11059,25719,4100,3592,5461,8781,4080,13871,10742,5014,9148,7942,12082,5022,5983,11231,2993,13878,21811,5324,4558,4869,10671,7299,16709,5796,5957,5961,4084,702,920,3681,8288,10676,2607,4201,7179,7300,6311,18026,3356,4613,9177,7158,7277,8308,6013,7364,13228,3517,7050,6532,7733,15804,14770,5479,2870,4315,5202,3618,8068,8279,6621,3307,4096,3633,8195,14562,8320,8121,6808,56340,10839,20258,4272,19600,8007,6262,9473,6224,663,9488,11774,10967
"ENSG00000203747","FCGR3A","Inflammation",361,372,1083,126,53,148,303,478,2448,1435,1865,3269,1332,1474,317,3661,1224,2013,2724,2187,2246,1794,4949,854,2543,2686,1483,6432,3373,2508,853,1084,3255,1600,1532,2977,3372,1556,2884,2166,1478,2367,1757,1639,4202,35,155,10,1577,855,1105,1050,2060,2310,1738,567,8282,1142,2943,1480,1682,1782,1878,587,1537,1066,335,1659,3098,1847,10618,1283,2027,3035,1827,542,1323,811,1805,3140,806,1681,2375,2124,2381,5078,3771,6536,3117,4513,3653,886,3227,4600,872,1930,2208,703,4723,4288,1939
"ENSG00000232810","TNF","Inflammation",91,55,20,19,0,17,9,31,94,162,472,128,92,156,4,153,30,138,182,117,105,92,248,164,217,230,158,619,242,203,64,98,265,225,212,104,247,87,117,137,252,180,127,162,170,1,97,144,233,183,111,36,237,170,208,65,277,104,180,148,184,232,244,31,108,57,26,171,309,135,463,148,65,258,251,98,120,158,127,354,185,287,215,83,172,348,147,301,272,321,205,94,187,245,187,92,264,91,221,109,183
"ENSG00000271503","CCL5","Inflammation",275,79,332,14,101,67,68,107,401,1160,1681,333,325,511,209,651,194,571,480,798,231,252,383,708,1823,237,989,1208,564,657,371,313,474,798,633,480,2103,581,471,187,533,736,1219,458,425,54,529,67,451,520,386,177,944,920,443,217,207,183,849,356,1179,542,263,194,203,301,81,738,489,206,895,1133,267,1871,1071,122,1108,701,1227,499,341,1075,481,163,1224,2370,758,598,2426,933,792,267,458,1265,272,147,905,229,1127,627,543
"ENSG00000275302","CCL4","Inflammation",136,160,421,5,63,59,16,114,154,809,707,249,232,276,134,902,94,343,431,1113,126,117,713,139,1517,313,255,1851,633,826,161,142,456,1190,518,341,3801,162,219,281,218,251,93,395,422,1,160,146,449,289,226,41,533,937,158,33,76,55,912,219,1077,535,236,63,68,161,53,153,569,249,962,456,217,632,473,111,508,477,772,399,405,1188,461,263,329,925,268,891,119,479,229,122,203,435,125,177,321,120,941,523,692
"ENSG00000277632","CCL3","Inflammation",3,10,1,0,0,5,0,1,8,34,8,3,7,6,1,54,10,3,19,42,8,3,11,0,38,14,19,38,8,9,2,6,9,26,20,11,130,3,5,4,5,12,3,10,17,3,0,4,32,8,2,7,17,40,11,3,7,1,11,5,39,36,5,3,3,3,0,0,11,5,19,14,5,22,23,7,14,21,41,46,17,35,20,8,5,28,7,19,1,27,3,0,12,9,4,5,11,1,13,10,37
