"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000938",868.706773314741,1.52725329858829,0.249069956916378,6.13182463873412,8.68768369002208e-10,5.11489932451135e-08
"ENSG00000001617",307.864109091472,1.10014220421974,0.317984176913567,3.45973883008266,0.000540699542691412,0.00483019777123332
"ENSG00000001630",79.6448427894249,1.16876417812879,0.227416709590709,5.1393065189988,2.75754262606829e-07,8.18496222888265e-06
"ENSG00000002587",160.157105149,1.52838798606091,0.525081788057515,2.9107617533547,0.00360548825234518,0.0214341950701309
"ENSG00000003137",616.605253126716,2.12636100504739,0.4274014903662,4.97509029092414,6.52172340937837e-07,1.69986003280693e-05
"ENSG00000003400",453.224923240319,1.12098286431139,0.223981242791594,5.00480687730812,5.59180634611911e-07,1.502507672708e-05
"ENSG00000004468",161.029013480327,1.81465250069805,0.443124374165608,4.09513131412596,4.21929173466543e-05,0.000594789395970695
"ENSG00000004776",79.0576575154093,1.90274702348467,0.529423945402518,3.59399502045194,0.000325646062260381,0.00319041337896604
"ENSG00000004799",11075.7131397469,-3.0195888447201,0.329790698322404,-9.15607644509166,5.38185357052711e-20,2.64048509885744e-17
"ENSG00000005249",2247.12032943328,-1.51440013449926,0.30962764184712,-4.89103661890434,1.00306299227324e-06,2.48010298346452e-05
"ENSG00000005381",43.8299899916889,3.97052482485581,1.48433752753621,2.67494741000473,0.00747409734765446,0.0368651416978139
"ENSG00000005844",201.84013185185,3.12332220566684,0.481373259575418,6.48835834466933,8.67766904601189e-11,6.66051027206471e-09
"ENSG00000005961",106.726394367868,2.54320875932922,0.562401834312806,4.52204919003641,6.12438220989805e-06,0.000112928733718547
"ENSG00000006016",13.1158793583794,5.05974664094847,1.26543792112406,3.9984155338525,6.37679291969365e-05,0.000837146445102699
"ENSG00000006118",542.976020411189,1.62912500889409,0.384905998134575,4.23252694629221,2.31080216559566e-05,0.000355165182970114
"ENSG00000006210",4029.65720638417,1.11760386419022,0.244930155535419,4.56294922831014,5.04400157124955e-06,9.61241487553742e-05
"ENSG00000006283",3.50731052128814,4.2455286184528,1.631932708835,2.60153411685926,0.00928078334519768,0.0434144252876307
"ENSG00000006327",3821.53742782568,2.16256227854515,0.439720322919965,4.91804032204981,8.74149089710521e-07,2.19828728871725e-05
"ENSG00000006606",6.09098155336253,3.50365675869545,1.32407984924878,2.64610684973664,0.00814240926345308,0.0392712730512959
"ENSG00000006638",1872.32853221016,1.31436957854632,0.342865318189116,3.83348652902056,0.000126339722720296,0.00147654018771941
"ENSG00000006837",28.2439551726987,-1.05613333173952,0.260938898680996,-4.0474353845981,5.17818700034868e-05,0.000707252156783432
"ENSG00000007237",329.752404782166,1.41379880595204,0.300195973114342,4.70958617893765,2.48220245524368e-06,5.27676702987425e-05
"ENSG00000007264",614.582529909782,1.34435289212699,0.248626018649818,5.40712874472109,6.40431094909645e-08,2.27625949670868e-06
"ENSG00000007314",99.225554454915,1.50447942123961,0.537163185502156,2.80078654279551,0.00509782268053998,0.0278327992826689
