"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",5052.60092313382,0.227618974330726,0.169688360447113,1.3413941517908,0.1797925153445,0.356225221232883
"ENSG00000000005",38.1806388785859,0.524533389042469,0.760428315356272,0.68978676681275,0.490328291741611,0.674675299078053
"ENSG00000000419",2695.37203433715,-0.322186215844444,0.120513915205376,-2.6734358044495,0.00750786443238418,0.0369952311593377
"ENSG00000000457",442.719342692306,-0.477626870325062,0.152145671721279,-3.13927346681306,0.0016936730962983,0.0119344095228319
"ENSG00000000460",117.118155018941,-0.115036857767387,0.415193937346039,-0.277067768625702,0.781728070233017,0.878882089026354
"ENSG00000000938",868.706773314741,1.52725329858829,0.249069956916378,6.13182463873412,8.68768369002208e-10,5.11489932451135e-08
"ENSG00000000971",6915.69459966592,-0.0573472313914802,0.389218120018357,-0.147339572445331,0.88286399901314,0.938301710400751
"ENSG00000001036",3618.41888740909,0.186885166766768,0.147540214991924,1.26667272903864,0.205272335060096,0.388909242664777
"ENSG00000001084",435.594267851887,-0.988651777904269,0.216358084818557,-4.56951621998954,4.88851333637869e-06,9.40202772504748e-05
"ENSG00000001167",548.385794740667,0.19174938410334,0.17570264808221,1.09132893667955,0.275128169373421,0.471589056998337
"ENSG00000001460",720.384291648779,0.36581917801134,0.137719247088286,2.65626762958433,0.00790108822270826,0.0383513151326103
"ENSG00000001461",3359.27082419393,0.359247811315411,0.198447809690792,1.81028861883216,0.0702510410657324,0.189094400768799
"ENSG00000001497",1501.36451403609,-0.380021554398349,0.13882192181288,-2.73747510073075,0.00619128067019822,0.0321340437522713
"ENSG00000001561",2997.36471779591,-0.545481168469689,0.190640415838651,-2.86130916191118,0.00421895415299874,0.0242014376011771
"ENSG00000001617",307.864109091472,1.10014220421974,0.317984176913567,3.45973883008266,0.000540699542691412,0.00483019777123332
"ENSG00000001626",28.792150344663,-0.859833434214222,0.748940269335344,-1.14806676769736,0.250941001840834,0.445480365240252
"ENSG00000001629",892.202539431995,-0.331711422876953,0.147181115322304,-2.25376348148033,0.0242110513338746,0.0879003085426886
"ENSG00000001630",79.6448427894249,1.16876417812879,0.227416709590709,5.1393065189988,2.75754262606829e-07,8.18496222888265e-06
"ENSG00000001631",1088.86917948846,-0.0751038901868581,0.135573513614323,-0.553971702765722,0.57959821180443,0.743537885453496
"ENSG00000002016",126.017828464098,-0.381235971811281,0.290289122312669,-1.31329747657803,0.189082728517217,0.368303599015866
"ENSG00000002330",946.994646649981,0.508186108400064,0.189534802234374,2.68122847313103,0.00733524157125364,0.0363594323684447
"ENSG00000002549",7896.95194103629,0.0706455845528336,0.194703259039634,0.362837195952909,0.71672650427689,0.83798506704108
"ENSG00000002586",8864.2706399658,0.927896952841472,0.173841567852738,5.33760115202997,9.41843604690591e-08,3.1590899030252e-06
"ENSG00000002587",160.157105149,1.52838798606091,0.525081788057515,2.9107617533547,0.00360548825234518,0.0214341950701309
"ENSG00000002726",5869.59768017033,0.0119889188718497,0.558378311526735,0.0214709608599755,0.982869967997961,0.991337494180851
"ENSG00000002745",1.93428794371061,0.809292088847728,2.16606950678947,0.373622400532869,0.708685265771502,0.832639466597855
"ENSG00000002746",173.312359327034,-0.272904598716753,0.477383082615199,-0.571667930127995,0.5675469648894,0.734203710390249
"ENSG00000002822",1097.25023644888,0.289097707234559,0.185963080888893,1.55459732035352,0.120042002376348,0.273731873344626
"ENSG00000002834",2995.92220752052,0.637953369988602,0.144118198180886,4.42659829252024,9.57307706178236e-06,0.000166461107880416
"ENSG00000002919",2496.09875006897,0.287775992894284,0.119388484903424,2.41041665891877,0.015934311365678,0.0648306242263407
"ENSG00000002933",5851.15564169247,-0.0300656872607287,0.417755027156525,-0.0719696599832025,0.942626053044634,0.969835078095512
"ENSG00000003056",3365.68059444701,0.223711690844649,0.141933892192869,1.57616822443406,0.114987039401942,0.266186113416171
"ENSG00000003096",777.215788737886,0.664399218705225,0.381255168234682,1.74266285171052,0.0813925242276611,0.209850977972647
"ENSG00000003137",616.605253126716,2.12636100504739,0.4274014903662,4.97509029092414,6.52172340937837e-07,1.69986003280693e-05
"ENSG00000003147",961.863664875889,0.0315695088042946,0.157189100170178,0.200837772912475,0.840825426133811,0.913791426890211
"ENSG00000003249",277.103135466913,0.83828583311563,0.399792890016831,2.09680025345208,0.036011261156842,0.117022568398247
"ENSG00000003393",892.402697653925,-0.534169078947256,0.156489522673586,-3.4134494745789,0.000641460515466752,0.00553279042330543
"ENSG00000003400",453.224923240319,1.12098286431139,0.223981242791594,5.00480687730812,5.59180634611911e-07,1.502507672708e-05
"ENSG00000003402",3661.01757337563,0.0829033188065049,0.11018825002339,0.752378940485091,0.451823207469023,0.643236248138934
"ENSG00000003436",6128.99006368188,-0.240889770144176,0.226043332490705,-1.06567960881607,0.286568498479625,0.483677367214649
"ENSG00000003509",413.416911842757,-0.363225645501641,0.148201303762654,-2.45089372549212,0.0142502019685367,0.0598671178067032
"ENSG00000003756",1601.39975429371,-0.309865057932114,0.116408826791512,-2.66186909079567,0.00777080938159933,0.0378731312425255
"ENSG00000003987",40.1258845221674,-0.534298820699954,0.424134759327217,-1.25973834718825,0.207763767046511,0.391908403998326
"ENSG00000003989",121.879623271841,-0.399012766575059,0.398853996562356,-1.00039806549281,0.317117905813255,0.516111851677913
"ENSG00000004059",3582.76401871678,0.454861952189633,0.157453287149565,2.88886920320411,0.00386629856582029,0.022645721609072
"ENSG00000004139",106.732903641349,0.435580464285828,0.212721938532726,2.04765181856791,0.0405941280361705,0.127943855866111
"ENSG00000004142",5341.42913292724,0.109612768531223,0.222631978149452,0.492349614113568,0.622472212028239,0.774553657160944
"ENSG00000004399",896.368904548072,0.980769015749239,0.233548717799916,4.19941939732453,2.67600265541568e-05,0.000402881699421247
"ENSG00000004455",5754.84541094867,-0.00982120042051248,0.101796150854428,-0.0964790941315367,0.923140076927899,0.959252948708052
"ENSG00000004468",161.029013480327,1.81465250069805,0.443124374165608,4.09513131412596,4.21929173466543e-05,0.000594789395970695
"ENSG00000004478",1789.08974649431,0.178110329250969,0.234220055512585,0.760440129096455,0.446991543995665,0.639157804095064
"ENSG00000004487",1869.37951477463,-0.40221757195949,0.254921089048457,-1.57781207298638,0.114608789421821,0.265507002028776
"ENSG00000004534",1249.60688001023,-0.235745108405533,0.133604075347506,-1.76450537000729,0.0776469320484738,0.202996712330677
"ENSG00000004660",153.575734250878,0.608946355933525,0.278065033283955,2.18994221870278,0.0285284276021328,0.0987601432568576
"ENSG00000004700",1268.50819585181,-0.229372016228158,0.177241264404534,-1.29412310952962,0.195622900345072,0.376809397213471
"ENSG00000004766",1111.23190081207,-0.136954055337892,0.172889786311775,-0.792146593847484,0.428275204611137,0.622425635696106
"ENSG00000004776",79.0576575154093,1.90274702348467,0.529423945402518,3.59399502045194,0.000325646062260381,0.00319041337896604
"ENSG00000004777",6.79131345153725,-1.16116571066501,0.592691748875033,-1.95913932135714,0.0500964729277351,0.148979551414047
"ENSG00000004779",5194.65510943033,-0.0784763449103418,0.161984992027819,-0.484466764037402,0.628054646237736,0.778480376388796
"ENSG00000004799",11075.7131397469,-3.0195888447201,0.329790698322404,-9.15607644509166,5.38185357052711e-20,2.64048509885744e-17
"ENSG00000004809",5.76108158762669,-0.718878601439982,1.40383235635978,-0.512082940803615,0.608592963174352,0.764775669171788
"ENSG00000004838",216.240319110399,-0.0431569704097985,0.293881541128471,-0.146851585996455,0.883249166287854,0.938506152617731
"ENSG00000004846",34.9005949151628,1.85342350703982,1.31322821107222,1.41134914054774,0.158141691510283,0.327170320265982
"ENSG00000004864",1204.42132061567,-0.333787309663366,0.151762543899452,-2.19940507774112,0.0278491319087219,0.0970395458320624
"ENSG00000004866",927.70629621608,-0.279356617710369,0.131969590028282,-2.11682568423908,0.0342746446835162,0.113067918163605
"ENSG00000004897",2588.4494482967,0.0909556416536949,0.116642169703162,0.779783519846764,0.435518308324894,0.628970282287053
"ENSG00000004939",186.450889459417,-0.63415144378611,0.621989810270364,-1.01955278577708,0.307940606684109,0.506660301186861
"ENSG00000004948",159.275169531992,0.33041842667745,0.562266436868365,0.58765454420109,0.556764192047792,0.72623435403325
"ENSG00000004961",1767.08962917291,0.201279453162298,0.0930126720383103,2.16400033190525,0.0304643239309722,0.103683122062131
"ENSG00000004975",982.593890506003,0.585004541330799,0.149775321065276,3.90588073635869,9.38828101451505e-05,0.00115323302673145
"ENSG00000005001",5.17858543037761,0.855891346465922,1.03698272929682,0.825367021344995,0.409163252073924,0.605947140944232
"ENSG00000005007",963.346688695057,0.308524795378823,0.254457495487622,1.21248067300038,0.225328436417693,0.415059491758209
"ENSG00000005020",4115.61648019128,0.102696387997316,0.116498168836287,0.881527916045046,0.378032151267417,0.57788705660288
"ENSG00000005022",10137.6369623504,-0.288874841185311,0.160249928026741,-1.80265192466799,0.0714428968015271,0.19115100125832
"ENSG00000005059",914.125190666468,-0.394968248440246,0.355376664102215,-1.11140738359411,0.266393035582896,0.462559767674591
"ENSG00000005073",102.068619673001,0.947069397257719,0.422202089341272,2.24316605996753,0.0248861080486768,0.0895456134014943
"ENSG00000005075",2227.18099791368,0.303466838471903,0.189072185151579,1.60503163502667,0.108486842888222,0.255897226880571
"ENSG00000005100",191.621449159822,0.248811664911786,0.246795916903799,1.00816767162632,0.3133739749167,0.512399111309264
"ENSG00000005102",4.84839683975038,-0.240535834797208,1.4654370328898,-0.164139317758935,0.869621470441557,0.931253881971788
"ENSG00000005108",8924.65290705295,-0.242156844659337,0.254497420209148,-0.951510017116601,0.341345535925909,0.541538676130998
"ENSG00000005156",609.554621264929,0.354115934007666,0.203731587849841,1.73814938441782,0.0821844950731295,0.211218204161858
"ENSG00000005175",876.613172582425,-0.332430180475568,0.09623182320645,-3.45447243332793,0.000551370580329246,0.00490800236961879
"ENSG00000005187",977.411331269997,-0.449820963220758,0.326807953493762,-1.37640763761077,0.168695464712855,0.341801764768078
"ENSG00000005189",67.8383629383577,-0.516920522695043,0.434844402445992,-1.18874825060958,0.234538747357709,0.426347346411625
"ENSG00000005194",3230.72514356574,0.272634663889355,0.0832412023029897,3.27523697816127,0.00105573372346009,0.00819626721328523
"ENSG00000005206",622.14647684716,0.715670655048066,0.145068582044832,4.93332632717742,8.08409240286744e-07,2.04944437795896e-05
"ENSG00000005238",726.75037565364,0.682387965587182,0.163364907926462,4.17707801662249,2.95277770428468e-05,0.000440050051915493
"ENSG00000005243",1576.4023840954,-0.0909679464631417,0.276916255907602,-0.328503453742689,0.742531033346067,0.854156469124002
"ENSG00000005249",2247.12032943328,-1.51440013449926,0.30962764184712,-4.89103661890434,1.00306299227324e-06,2.48010298346452e-05
"ENSG00000005302",1249.38620035069,-0.0258937195127925,0.124127694417127,-0.208605498026714,0.834756218198948,0.910128110613596
"ENSG00000005339",734.079983474305,0.609220990529287,0.201990369139097,3.01608929735536,0.0025605783876726,0.0164748759106053
"ENSG00000005379",212.287060359098,-0.822722922375814,0.276412952499824,-2.97642680972534,0.00291628682946205,0.0182018780361186
"ENSG00000005381",43.8299899916889,3.97052482485581,1.48433752753621,2.67494741000473,0.00747409734765446,0.0368651416978139
"ENSG00000005421",138.148380229717,-1.50876581342108,0.739891685624991,-2.03917119591176,0.0414329445799588,0.129888660350984
"ENSG00000005436",620.131267105583,-0.333924950978903,0.167146377813813,-1.99779950571749,0.0457384009655179,0.139348139408157
"ENSG00000005448",1365.78636678746,0.120141380666327,0.136617501373243,0.879399633712355,0.37918463065793,0.578957641464652
"ENSG00000005469",1013.15669037615,-0.0672217249188829,0.151631587245042,-0.443322701689128,0.657532337678154,0.798252105835853
"ENSG00000005471",36.5865171204794,0.515279394540258,0.632469659586033,0.814710060364825,0.415238293358198,0.610894436524508
"ENSG00000005483",5595.02377708592,0.0589973789411651,0.0998907348140485,0.59061913050286,0.554775643902608,0.724748203762671
"ENSG00000005486",9871.44070391804,0.313096767543592,0.103982104734177,3.01106395512961,0.00260334013484862,0.0166942021666279
"ENSG00000005513",3.23534367605386,1.92508237114813,1.21686625392278,1.5819999650268,0.113649578471681,0.264238966039621
"ENSG00000005700",1455.08472438027,-0.534098965162455,0.141459475396399,-3.77563230505272,0.000159602281402941,0.00177098371852079
"ENSG00000005801",931.272905170979,-0.424775437156621,0.130132991122904,-3.26416409467944,0.00109787559520216,0.00846826237458337
"ENSG00000005810",1113.39901888412,-0.490323420156425,0.154637787872673,-3.1707865645372,0.00152026800101766,0.011016549644212
"ENSG00000005812",3501.64263273316,-0.521009581151614,0.217438935613731,-2.39611907444745,0.0165697064516922,0.0667214668223758
"ENSG00000005844",201.84013185185,3.12332220566684,0.481373259575418,6.48835834466933,8.67766904601189e-11,6.66051027206471e-09
"ENSG00000005882",2856.09969233661,-0.270891130010873,0.178057836274184,-1.52136595433934,0.128168027578981,0.285708805571735
"ENSG00000005884",16272.5467489616,0.557417347346767,0.208682615098449,2.67112498606459,0.00755974922729229,0.0371801587553053
